"x","y","point_count","mean_height_m","sd_height_m","p25_height_m","p50_height_m","p75_height_m","p90_height_m","p95_height_m","p98_height_m","maximum_height_m","returns_above_2m_percent","returns_above_mean_percent","canopy_relief_ratio"
684910,5017890,679,13.8864801178203,6.76704245227247,8.14,14.52,19.2,22.18,24.733,26.972,28.57,96.3181148748159,52.1354933726068,0.486051106679045
684930,5017890,670,14.6664179104478,6.27964805348301,9.105,14.73,20.3225,23.062,23.8355,24.5034,25.55,98.0597014925373,50.5970149253731,0.574028098256273
684950,5017890,671,14.9992399403875,6.88573612323044,10.3,16.39,20.975,22.95,23.895,24.446,25.91,95.8271236959762,56.7809239940387,0.578897720586163
684970,5017890,677,14.0679025110783,6.97934147526482,7.98,14.74,20.44,22.51,23.268,24.05,25.15,94.6824224519941,52.1418020679468,0.559359940798341
684990,5017890,396,10.7642929292929,5.95771039659292,5.7475,10.85,16.115,18.03,19.1725,20.352,22,91.4141414141414,50.7575757575758,0.489286042240588
684770,5017870,188,0.0777659574468085,0.101908570276841,0,0,0.1525,0.24,0.273,0.3226,0.49,0,38.8297872340425,0.158706035605732
684790,5017870,487,6.60312114989733,5.13752539586048,0.25,7.23,10.445,13.36,14.896,16.5784,18.53,69.4045174537988,55.64681724846,0.356347606578377
684810,5017870,727,15.2386657496561,5.99376781540939,12.63,17.09,19.62,20.868,21.957,22.8444,24.57,94.0852819807428,62.1733149931224,0.62021431622532
684830,5017870,678,17.3475663716814,5.73939655350585,15.0475,19.445,21.27,22.34,23.0415,23.7522,26.37,98.2300884955752,64.4542772861357,0.657852346290535
684850,5017870,692,15.0783670520231,6.91030561323171,10.355,17.74,20.46,21.847,23.1325,24.386,25.85,91.907514450867,61.271676300578,0.583302400465111
684870,5017870,773,14.1862871927555,8.03106528692191,6.57,17,21.22,23.16,24.078,25.2156,26.03,89.7800776196636,56.4036222509702,0.544997587120841
684890,5017870,714,15.3898459383754,7.35826183465115,7.23,18.815,21.5,22.577,23.1,23.4622,24.01,94.6778711484594,61.9047619047619,0.640976507220964
684910,5017870,678,13.3401769911504,6.76096120559615,7.67,14.005,19.165,21.952,22.84,23.2984,23.99,93.6578171091445,52.0648967551622,0.556072404799935
684930,5017870,706,13.3330878186969,5.46918961006642,9.155,14.51,17.67,19.695,21.1625,21.849,24.61,96.742209631728,54.8158640226629,0.541775205960865
684950,5017870,708,14.5943785310734,6.06345183275018,9.815,15.875,19.53,21.419,22.4525,23.1858,24.02,96.6101694915254,56.0734463276836,0.607592778146272
684970,5017870,687,15.0554730713246,6.45908202113587,9.915,17.41,20.205,21.732,22.45,22.8968,23.96,95.3420669577875,61.863173216885,0.628358642375818
684990,5017870,412,12.6947330097087,5.9252531993146,7.4975,13.965,17.8825,19.489,20.14,20.7034,21.53,95.3883495145631,56.7961165048544,0.589629958648803
684770,5017850,287,0.196271777003484,0.247056169835574,0,0.1,0.315,0.6,0.717,0.831199999999999,1.03,0,36.9337979094077,0.190555123304354
684790,5017850,608,5.25241776315789,4.92565006637926,0.24,5.135,9.04,12.286,13.8065,15.0116,15.86,57.5657894736842,49.0131578947368,0.33117388166191
684810,5017850,816,12.3832720588235,5.53613472428213,8.145,13.195,16.9875,19.01,19.875,20.481,22.09,94.2401960784314,54.0441176470588,0.560582709770191
684830,5017850,790,12.7359746835443,6.18910023533786,7.8,13.695,17.975,20.152,20.8775,21.4188,24.74,93.4177215189873,56.3291139240506,0.514792832802923
684850,5017850,776,15.5301417525773,7.14108052584862,10.2925,17.53,21.3825,23.47,24.34,24.995,26.67,96.0051546391753,58.7628865979381,0.582307527280739
684870,5017850,778,14.8451670951157,6.70242511943966,10.4825,16.65,20.135,22.096,23.049,23.7898,25.63,94.2159383033419,59.7686375321337,0.579210577257733
684890,5017850,722,16.1864542936288,6.60025109039794,12.62,18.54,21.27,22.678,23.4395,23.93,24.55,95.1523545706371,62.7423822714681,0.659326040473679
684910,5017850,747,14.8920214190094,6.55030800164624,9.675,17.32,20.18,21.514,22.17,22.6488,24.12,95.9839357429719,62.516733601071,0.617413823342014
684930,5017850,765,13.0496209150327,6.59964734006103,7.48,13.65,19.12,20.7,21.442,22.0488,22.6,93.0718954248366,53.5947712418301,0.577416854647464
684950,5017850,725,14.3643448275862,5.65130650490852,10.75,15.16,18.95,21.01,21.566,22.63,24.4,96.2758620689655,56.6896551724138,0.588702656868287
684970,5017850,681,14.9478267254038,7.00526692437172,9.76,17.05,20.5,22.49,23.6,24.402,25.11,93.0983847283407,57.4155653450808,0.595293776399993
684990,5017850,385,12.9503896103896,5.97209379320953,7.5,14.49,18.27,19.888,20.628,21.0128,21.72,94.8051948051948,57.1428571428571,0.596242615579632
684770,5017830,46,0.0495652173913043,0.0871513758861017,0,0,0.07,0.195,0.2225,0.254,0.38,0,32.6086956521739,0.130434782608696
684790,5017830,409,3.43227383863081,4.30413600258521,0,0.6,6.46,10.108,12.524,14.0384,16.52,42.7872860635697,38.8753056234719,0.207764760207676
684810,5017830,739,8.32802435723951,4.34816170164908,5.45,8.63,11.78,13.57,14.751,16.0548,17.96,89.0392422192152,51.9621109607578,0.463698460870797
684830,5017830,765,12.7157647058824,5.78161727107316,8.04,14.43,17.27,19.022,19.926,20.8372,22.97,94.640522875817,58.3006535947712,0.553581397731056
684850,5017830,683,14.1698535871157,5.64727780493379,11.695,15.62,18.225,19.908,20.894,22.2908,24.54,95.0219619326501,61.6398243045388,0.57741864658173
684870,5017830,683,13.8795314787701,5.73729869024652,10.79,15.29,18.01,20.028,21.299,22.25,23.98,94.1434846266472,59.5900439238653,0.578796141733533
684890,5017830,681,14.8699559471366,5.64439606245178,12.93,16.59,18.71,20.37,21.46,22.182,24.48,95.3010279001468,64.0234948604993,0.607432840977801
684910,5017830,710,12.8795352112676,6.35892229324125,9.0325,14.575,18.12,19.991,20.53,21.0964,22.83,91.830985915493,58.4507042253521,0.564149593134805
684930,5017830,642,13.0109190031153,4.87067700365447,10.3575,14.425,16.6675,17.709,18.069,18.6036,20.34,93.613707165109,61.993769470405,0.639671534076463
684950,5017830,633,13.939747235387,5.8714484766955,11.4,15.36,18.21,20.096,20.764,21.7472,23.36,94.6287519747235,59.3996840442338,0.596735754939514
684970,5017830,624,14.9840544871795,7.28729738088213,9.0225,17.38,20.84,23.062,24.23,25.1662,26.61,94.8717948717949,58.0128205128205,0.563098627853419
684990,5017830,420,12.963,7.11260580829896,7.2775,15.05,19.095,20.574,21.24,21.9362,22.97,83.8095238095238,60.952380952381,0.564344797562037
684770,5017810,16,0.008125,0.0325,0,0,0,0,0.0325,0.0909999999999999,0.13,0,6.25,0.0625
684790,5017810,66,0.180606060606061,1.15669007721685,0,0,0,0.21,0.295,0.494999999999997,9.4,1.51515151515152,12.1212121212121,0.0192134107027724
684810,5017810,255,2.48466666666667,4.6187512998162,0,0.11,2.55,11.956,13.618,15.9008,16.83,26.2745098039216,25.0980392156863,0.147633194692018
684830,5017810,551,8.85023593466425,7.5128702987641,0.325,8.73,14.115,19,23.395,26.9,29.14,70.5989110707804,49.3647912885662,0.30371434230145
684850,5017810,603,13.9058208955224,4.65124851396186,12.42,14.47,16.17,17.608,20.243,25.156,28.63,95.5223880597015,58.3747927031509,0.485708029882025
684870,5017810,592,13.2734797297297,6.26888740466062,10.86,15.23,17.595,19.668,21.189,22.467,23.51,88.1756756756757,61.1486486486487,0.564588674169703
684890,5017810,499,8.48038076152304,6.30672542590062,0.165,9.6,14.15,16.422,17.378,18.2028,19.05,71.3426853707415,55.1102204408818,0.445164344436905
684910,5017810,428,7.80661214953271,5.63957249771187,3,7.155,12.7,15.619,16.6595,17.3776,18.2,77.3364485981308,46.7289719626168,0.428934733490808
684930,5017810,542,10.2766605166052,5.60861864099697,5.6025,11.96,14.48,16.348,17.396,18.8454,21.2,85.7933579335793,60.5166051660517,0.484748137575715
684950,5017810,582,12.9788144329897,4.68896817181351,10.6075,13.27,16.0675,18.277,20.197,21.9152,24.08,95.8762886597938,51.8900343642612,0.538987310340103
684970,5017810,519,15.7845857418112,5.32828916415597,14.235,16.77,19.15,20.894,21.895,23.2364,24.95,93.8342967244701,60.1156069364162,0.6326487271267
684990,5017810,378,12.2739947089947,5.92271979156662,10.215,13.74,16.475,18.486,19.8445,20.9338,23,87.8306878306878,60.3174603174603,0.533651943869335
684770,5017790,224,0.0353571428571429,0.0694750149809147,0,0,0.05,0.127,0.19,0.2754,0.35,0,26.7857142857143,0.101020408163265
684790,5017790,230,0.0256086956521739,0.0581093977551098,0,0,0,0.0909999999999999,0.1655,0.2442,0.3,0,22.1739130434783,0.0853623188405797
684810,5017790,141,0.0492198581560284,0.104143245593927,0,0,0.07,0.17,0.3,0.38,0.68,0,26.9503546099291,0.0723821443471005
684830,5017790,415,1.4549156626506,2.49289026329896,0,0.26,1.595,4.9,6.61699999999999,9.42759999999997,15.29,23.3734939759036,26.9879518072289,0.0951547195978158
684850,5017790,544,4.72595588235294,6.19171238151138,0,1.02,8.83,15.604,17.495,19.6268,21.06,44.6691176470588,35.2941176470588,0.224404362884755
684870,5017790,414,1.91345410628019,5.22420826181153,0,0,0,10.239,16.4985,19.0458,21.35,12.56038647343,12.56038647343,0.089623143151297
684890,5017790,333,0.00891891891891892,0.0346414861500366,0,0,0,0,0.07,0.1636,0.27,0,8.70870870870871,0.033033033033033
684910,5017790,238,0.0080672268907563,0.0314025802085467,0,0,0,0,0.06,0.1178,0.23,0,9.66386554621849,0.0350748995250274
684930,5017790,158,0.640886075949367,2.55155089087444,0,0,0,0.21,9.0485,10.7806,14.91,5.69620253164557,5.69620253164557,0.0429836402380528
684950,5017790,452,4.96975663716814,4.76427826546206,0,4.12,9.51,11.78,13.1235,14.9056,16.03,60.8407079646018,46.0176991150442,0.310028486410988
684970,5017790,464,5.55810344827586,5.40163104937711,0,5.29,10.4925,12.91,14.2255,15.24,17.86,57.7586206896552,48.7068965517241,0.311204000463374
684990,5017790,264,3.3428787878788,5.31908423324062,0,0,6.0425,12.485,14.8115,16.964,17.3,33.3333333333333,32.1969696969697,0.193229987738659
684770,5017770,122,0.00704918032786885,0.0183936983724985,0,0,0,0.04,0.05,0.0658,0.08,0,13.9344262295082,0.0881147540983606
684790,5017770,178,0.00398876404494382,0.0147804989725048,0,0,0,0,0.04,0.05,0.1,0,8.42696629213483,0.0398876404494382
684810,5017770,174,0.00505747126436782,0.0167865596676642,0,0,0,0,0.05,0.07,0.08,0,9.19540229885057,0.0632183908045977
684830,5017770,169,0.00402366863905325,0.014239429104528,0,0,0,0,0.04,0.06,0.08,0,8.28402366863905,0.0502958579881657
684850,5017770,163,0.00177914110429448,0.0083088711627083,0,0,0,0,0,0.0375999999999999,0.05,0,4.9079754601227,0.0355828220858896
684870,5017770,159,0.00157232704402516,0.00815472148667732,0,0,0,0,0,0.0384,0.05,0,3.77358490566038,0.0314465408805032
684890,5017770,154,0.00201298701298701,0.0105024037167639,0,0,0,0,0,0.04,0.07,0,3.8961038961039,0.0287569573283859
684910,5017770,152,0.00171052631578948,0.00975028040279241,0,0,0,0,0,0.04,0.08,0,3.28947368421053,0.0213815789473684
684930,5017770,149,0.00134228187919463,0.00835510186594261,0,0,0,0,0,0.0307999999999998,0.06,0,2.68456375838926,0.0223713646532439
684950,5017770,149,0.00402684563758389,0.0226584350705787,0,0,0,0,0.0259999999999999,0.0407999999999998,0.25,0,6.71140939597315,0.0161073825503356
684970,5017770,144,0.00430555555555555,0.0147070592334971,0,0,0,0,0.04,0.0513999999999999,0.09,0,9.02777777777778,0.0478395061728395
684990,5017770,94,0.00180851063829787,0.0100496365908132,0,0,0,0,0,0.0514,0.06,0,3.19148936170213,0.0301418439716312
