"treeID","tree_height_m","mean_return_height_m","point_count","crown_area_m2","equivalent_crown_diameter_m","crown_volume_proxy_m3"
11,22,12.653743315508,187,81.7873999985523,10.2046534453273,1799.32279996815
12,23.5,16.1368586387435,191,95.0828500004626,11.0028743811202,2234.44697501087
13,20.66,13.9061578947368,190,103.312400000824,11.4691513697634,2134.43418401702
14,21.47,14.6581481481481,135,59.99149999678,8.73976831179635,1288.01750493087
15,24.08,13.1227058823529,85,30.0328999993928,6.18377521602326,723.192231985379
16,23.75,16.3015447154472,123,80.1637000007973,10.1028507310215,1903.88787501894
17,27.2,19.5214601769912,226,121.912450002815,12.4588824675061,3316.01864007656
18,21.44,15.3297435897436,156,84.7293499958436,10.3865662764175,1816.59726391089
19,21.8,14.1149659863946,147,110.211249996758,11.845898943118,2402.60524992932
20,19.95,15.4176666666667,60,48.9188500000687,7.89211089018998,975.931057501371
21,21.73,14.8602777777778,216,111.279749997772,11.9031835332152,2418.10896745158
22,19.08,9.9242904290429,303,154.219599999779,14.012797482764,2942.50996799579
23,20.7,10.2514285714286,7,0.128750000065914,0.404882194556117,2.66512500136443
24,22.2,15.9553198653199,297,148.268899998955,13.7397899086214,3291.56957997681
25,24.98,17.1544852941176,136,83.2991499998025,10.2985325082059,2080.81276699507
26,20.67,14.2668674698795,83,72.1409999982613,9.58398528768307,1491.15446996406
27,22.95,15.3458365758755,257,130.018999999609,12.8664421020896,2983.93604999102
28,22.86,14.7420661157025,242,96.5224999978397,11.0858587377771,2206.50434995062
29,22.71,15.9940410958904,146,130.446799998915,12.8875918713613,2962.44682797535
30,27.93,18.4232568807339,218,116.922500003322,12.2012438166577,3265.64542509279
31,22.21,14.1588340807175,223,113.292099998543,12.010328131414,2516.21754096763
32,26.95,17.684578313253,83,59.4583999975413,8.7008497368677,1602.40387993374
33,16.42,12.6769230769231,52,46.1662500009971,7.66685692662901,758.049825016373
35,25.34,18.8290070921986,141,63.5357499998043,8.99423311929138,1609.99590499504
36,22.36,17.3086585365854,82,51.4619000016828,8.09464799292403,1150.68808403763
37,20.09,12.1078125,192,84.8976499979182,10.3968767056474,1705.59378845818
38,27.35,21.8502222222222,180,95.6299500021989,11.0344838576096,2615.47913256014
39,17.55,10.984387755102,98,39.72279999918,7.11172551400586,697.135139985609
40,17.44,8.60118811881188,202,98.7530999990159,11.2132221989905,1722.25406398284
42,23.28,14.7470250896057,279,131.704150001628,12.9495533509,3066.0726120379
43,24.07,16.1126153846154,130,63.9138000023292,9.02095214582473,1538.40516605606
44,22.41,15.962,75,36.1870500021256,6.78784082532988,810.951790547635
45,18.42,12.2921359223301,103,87.404849999485,10.5492801375729,1609.99733699051
46,27.1,20.8829943502825,177,67.809299997429,9.29179650323534,1837.63202993032
47,25.91,21.4354128440367,109,53.7145000000111,8.26991085355163,1391.74269500029
48,24.02,18.8916666666667,120,65.4666999982368,9.12988451740045,1572.51013395765
49,22.04,15.4548044692737,179,153.962950001713,14.0011326815463,3393.34341803776
50,24.61,19.445625,144,76.113649999095,9.8443338562332,1873.15692647773
51,21.2,14.6209146341463,164,97.5987999998414,11.1474953096423,2069.09455999664
52,18.1,12.7618633540373,161,121.112899998946,12.4179601246023,2192.14348998092
53,16.53,6.75550458715596,109,63.8333999979748,9.01527643238514,1055.16610196652
54,20.42,9.77176,125,60.5583000002319,8.78095793875763,1236.60048600474
55,20.84,12.7825,236,125.102499996947,12.620833971705,2607.13609993637
56,21.81,16.3806923076923,130,100.503249999892,11.3121488796014,2191.97588249765
57,19.12,14.7182524271845,103,81.9647999977896,10.2157145924059,1567.16697595774
58,21.35,16.7111258278146,151,77.8226500022482,9.95423906981073,1661.513577548
60,24.01,16.0583482142857,224,124.153700001013,12.5728835382531,2980.93033702433
61,26.35,17.5914563106796,103,48.1455499988144,7.829483901351,1268.63524246876
62,22.87,16.5709625668449,187,89.9505500008613,10.7018034616495,2057.1690785197
63,18.7,12.8333653846154,104,92.7501999975133,10.8670705536924,1734.4287399535
64,26.21,17.1733070866142,127,56.114199998078,8.45262198721383,1470.75318194962
65,27.8,23.1562195121951,164,85.3306499998206,10.4233563672038,2372.19206999501
66,25.83,15.6023369565217,184,86.9066500023838,10.5191721862271,2244.79876956157
67,21.29,14.8370918367347,196,93.0177999985658,10.882735930015,1980.34896196947
68,16.95,9.55894736842105,266,151.026600001559,13.8669765785078,2559.90087002642
69,28.18,21.0202645502645,189,90.7303499985798,10.7480914364297,2556.78126295998
70,21.38,18.3332967032967,91,52.3292999973465,8.16258133833478,1118.80043394327
73,27.01,16.3509009009009,111,66.4293000035576,9.1967609348947,1794.25539309609
74,21.64,15.1961494252874,174,95.8878000010823,11.0493501536984,2075.01199202342
75,18.1,11.7971428571429,63,44.6846000008826,7.54282438890079,808.791260015975
76,25.32,20.1255172413793,87,41.7657000009422,7.29230696383148,1057.50752402386
77,27.03,22.8280769230769,130,61.3753999998718,8.83999922815467,1658.97706199653
78,27.74,21.5285119047619,168,69.1873500032713,9.38573758527253,1919.25708909075
79,21.59,9.8141,200,103.947850005191,11.5043693098235,2244.23408161208
80,25.87,18.6900537634409,186,90.4409999987167,10.7309392722053,2339.7086699668
81,20.68,15.9524390243902,123,102.472499998372,11.4224357842713,2119.13129996633
82,23.88,16.964527027027,148,110.487650003497,11.860743871668,2638.4450820835
83,23.37,18.2641463414634,123,76.8005999973855,9.8886581989701,1794.8300219389
84,21.89,13.8283505154639,97,79.2604999976465,10.0457753773656,1735.01234494848
85,23.61,12.4717692307692,130,50.4603999996404,8.01549603722043,1191.37004399151
86,22.79,18.9575,120,56.7526499990342,8.5005716423829,1293.39289347799
87,21.32,15.5020114942529,174,110.320649994568,11.8517768361529,2352.0362578842
88,23.63,17.5328712871287,101,52.13520000133,8.14742893889662,1231.95477603143
89,20.3,16.1709677419355,93,85.9742500009094,10.4625912149001,1745.27727501846
90,22.13,17.2646276595745,188,98.1381499958225,11.178254489044,2171.79725940755
91,22.67,16.6636413043478,184,89.6081500003986,10.6814156417147,2031.41676050904
92,18.01,13.224,60,41.5173000008725,7.2705892575323,747.726573015714
93,25.64,17.7859259259259,243,123.321250000161,12.5306620817248,3161.95685000413
94,24.25,17.8457142857143,91,55.14534999823,8.37933412187433,1337.27473745708
95,19.98,13.7101769911504,113,99.9589499991273,11.2814754349373,1997.17982098256
96,25.74,21.7770175438596,114,73.2077999976612,9.6545878182388,1884.3687719398
97,20.21,12.0135377358491,212,95.5780999991056,11.0314920355097,1931.63340098192
98,23.29,12.947037037037,216,100.486099997758,11.311183678703,2340.32126894778
99,23.72,17.0966165413534,133,76.2562499990953,9.85355129037541,1808.79824997854
100,27.09,19.8212437810945,201,111.321749997434,11.9054296136617,3015.70620743048
101,22.72,15.0310101010101,99,90.1823499983431,10.7155837104209,2048.94299196235
102,20.83,15.7251515151515,66,50.2405500013108,7.9980156920897,1046.5106565273
103,23.47,13.9664018691589,214,117.8670000014,12.2504255200006,2766.33849003285
104,18.25,12.4758762886598,97,63.2003500017394,8.97046179766224,1153.40638753174
105,23.86,16.243355704698,149,80.3460500016533,10.1143347841256,1917.05675303945
106,23,17.0290839694656,131,70.5389499982361,9.47697106579156,1622.39584995943
107,22.38,15.2795762711864,118,71.5253000003034,9.54299954990213,1600.73621400679
108,23.19,15.1504938271605,81,36.082450001403,6.77802347389824,836.752015532535
109,22.79,15.7975294117647,85,38.4512000003291,6.99696994297816,876.3028480075
110,24.67,17.3579754601227,163,80.4877500017858,10.1232497830011,1985.63279254406
111,23.59,18.4613043478261,92,50.9103000002103,8.05114943313054,1200.97397700496
112,19.4,12.0298936170213,188,103.090750001253,11.4568416065686,1999.96055002431
113,22.24,14.2137647058824,85,63.537350000053,8.99434636801064,1413.07066400118
114,21.49,17.0908695652174,46,28.6672999994452,6.04155112533858,616.060276988077
115,21.2,16.3663157894737,76,47.3702999995474,7.76619206596076,1004.2503599904
116,22.09,16.3598611111111,72,64.820150000267,9.08468922286309,1431.8771135059
117,24.08,11.9576991150442,113,46.6861499997613,7.709906119476,1124.20249199425
118,21.38,16.6501960784314,102,84.9886999975598,10.4024503696257,1817.05840594783
119,23.8,14.6866292134831,178,83.4856499956341,10.3100548491441,1986.95846989609
120,22.01,15.3398113207547,106,61.9646999998853,8.88233676559862,1363.84304699748
121,23.98,16.9604,100,63.4913500013964,8.99108989891653,1522.52257303349
122,21.71,16.7462307692308,130,79.6973500030122,10.0734213470119,1730.2294685654
123,19.86,12.9641121495327,107,55.7472999987145,8.42494313752786,1107.14137797447
124,21.44,17.7616666666667,30,22.5202499999415,5.35478037432419,482.834159998745
125,20.49,13.5997196261682,107,77.817150001825,9.95388731305069,1594.47340353739
126,22.02,14.7970873786408,103,57.0262500009427,8.52103729537395,1255.71802502076
127,18.19,13.3929496402878,139,123.810750002584,12.5555064798919,2252.117542547
128,22.48,10.9376829268293,82,31.4550999995196,6.3284972310168,707.110647989201
129,21.39,14.1391891891892,148,70.9031999997391,9.50140821604534,1516.61944799442
130,21.71,15.4801428571429,210,137.23865000007,13.2188379310043,2979.45109150152
131,23.75,16.9623287671233,146,69.440199999892,9.4028723608364,1649.20474999743
132,23.9,14.3006763285024,207,105.844799997751,11.6088666527668,2529.69071994626
133,24.34,18.9313194444444,144,89.7376499997404,10.6891311448252,2184.21440099368
134,22.32,15.9807971014493,138,89.7018000030657,10.6869957891742,2002.14417606843
135,22.51,13.4097701149425,87,49.7335499994978,7.95755757499901,1119.5022104887
136,22.71,17.3683606557377,122,81.2092499994983,10.1685214509114,1844.26206748861
137,19.95,14.6818811881188,101,79.2473499991799,10.0449420025416,1580.98463248364
138,21.89,15.6992366412214,131,59.0916499970076,8.67397403384628,1293.5162184345
139,25.76,15.8847928994083,169,65.0648500010582,9.10182069663037,1676.07053602726
140,21.78,10.9567142857143,70,34.4007500003365,6.61818670550904,749.248335007329
141,26.13,17.8878694158076,291,167.826449997619,14.6179093166392,4385.3051384378
142,24.65,14.4920388349515,103,38.4090499987856,6.99313387074521,946.783082470065
143,23.07,14.5364666666667,150,92.6808500004,10.8630071002544,2138.14720950923
144,21.69,16.0581927710843,83,67.7697500016114,9.28908637266699,1469.92587753495
145,22.43,13.0894736842105,171,71.8793499984604,9.56658930172604,1612.25382046547
146,23.76,11.7679487179487,117,56.7997499988915,8.50409829609581,1349.56205997366
147,24.27,14.1239449541284,218,111.722499998328,11.9268396918272,2711.50507495942
148,22.07,16.7595698924731,93,65.1613000005943,9.10856431865681,1438.10989101312
149,18.61,12.3035099337748,151,123.768200001068,12.5533488210139,2303.32620201988
150,22.74,14.6020202020202,99,42.6960499999809,7.3730793610245,970.908176999566
151,24,19.9022448979592,49,23.7089499989111,5.49428545879829,569.014799973866
152,24.69,16.5569811320755,53,20.5170500003333,5.11107810561852,506.56596450823
153,21.98,13.5712121212121,132,71.0010999996526,9.5079655152537,1560.60417799236
154,21.03,16.7717391304348,161,109.011450001284,11.7812430995441,2292.510793527
155,22.7,16.2128484848485,165,149.975650004701,13.8186442292052,3404.44725510671
156,22.58,12.7773622047244,254,109.064650000567,11.7841175025295,2462.67979701281
157,22.19,15.6270680628272,191,124.331199998776,12.5818679250268,2758.90932797285
158,23.08,15.1664655172414,116,64.4887999994579,9.06143975049367,1488.40150398749
159,25.36,15.1813793103448,116,46.2553500012678,7.67425180569284,1173.03567603215
160,23.24,17.3595726495726,117,74.5747999980241,9.74431036031796,1733.11835195408
161,25.26,17.7121379310345,145,98.0930000005342,11.1756828275675,2477.82918001349
162,22.86,19.2603333333333,90,69.3122999994957,9.39420892336896,1584.47917798847
163,22.59,16.4254037267081,161,124.135099995105,12.5719417037871,2804.21190888942
164,18.67,12.6250802139037,187,149.491549996281,13.7963238965682,2791.00723843056
165,26.18,17.8455147058824,136,71.7822999980092,9.56012881552901,1879.26061394788
166,20.96,15.12,109,70.3032999993091,9.46112792876726,1473.55716798552
167,18.2,12.9641237113402,97,43.9236499965726,7.47832388471794,799.410429937622
168,23.13,14.4334228187919,149,78.2238500006951,9.9798646865735,1809.31765051608
169,23.37,17.4856989247312,93,55.9095500014585,8.43719443833108,1306.60618353409
170,23.89,16.5480714285714,140,94.136800001752,10.9479996518568,2248.92815204186
171,24.45,13.9421457489879,247,109.585999997191,11.8122490976855,2679.37769993132
172,24.53,16.2041081081081,185,84.7399999990594,10.3872190224169,2078.67219997693
173,22.95,12.9524,200,113.552300001203,12.0241123895763,2606.0252850276
174,23.05,17.2326315789474,76,52.3254000014748,8.16227716240775,1206.10047003399
175,24.71,15.5753284671533,137,72.2535999996345,9.59146186819357,1785.38645599097
176,23.43,17.9207766990291,103,69.5838999988132,9.41259651506352,1630.35077697219
177,18.32,11.6712244897959,98,77.629200001279,9.94185934661034,1422.16694402343
178,21.9,17.6150526315789,95,69.480449999326,9.40559708498807,1521.62185498524
179,20.05,15.4216312056738,141,68.4749499985789,9.33729158599824,1372.92274747151
180,24.38,20.7295,40,12.8478999995598,4.04455860956945,313.231801989267
181,24.26,15.6826666666667,60,27.9498499995764,5.9654718412609,678.063360989723
182,23.95,16.1352032520325,246,126.439350001685,12.6880881315018,3028.22243254036
183,23.8,16.4902732240437,183,101.199249999486,11.3512504596139,2408.54214998777
184,24.59,19.6440425531915,47,19.9640999999519,5.04173398693207,490.917218998816
185,24.51,15.2051937984496,129,68.9366999999585,9.36872096518471,1689.63851699898
186,23.91,14.2213846153846,65,27.1836999987492,5.88314217154615,649.962266970094
187,23.36,17.0970987654321,162,97.7556500020175,11.1564492247246,2283.57198404713
188,22.89,15.5441739130435,115,79.8277999996459,10.0816621510919,1827.2583419919
189,24.42,19.0522222222222,99,71.4803000001094,9.53999709799076,1745.54892600267
190,23.53,13.9568644067797,118,46.5407499983833,7.69789083707834,1095.10384746196
192,18.49,12.7272222222222,198,106.462850002201,11.6427106237341,1968.49809654069
193,24.05,16.3604142011834,169,121.386849999933,12.4319965263328,2919.3537424984
194,20.45,14.7601030927835,97,52.6165499998671,8.18495401131648,1076.00844749728
195,23.93,15.4430456852792,197,99.7670499979306,11.2706412115254,2387.42550645048
196,22.7,13.6047474747475,99,50.4467999989523,8.01441580303966,1145.14235997622
197,23.76,15.9470408163265,98,49.5814500000988,7.94537996734171,1178.05525200235
198,24.24,17.843085106383,188,132.343750002688,12.980958978518,3208.01250006516
199,22.8,16.1987128712871,101,83.6185499948747,10.3182578242109,1906.50293988314
200,24.16,17.06025,80,38.3062999974318,6.98377376274594,925.480207937952
201,20.89,16.0715873015873,63,52.6566999990856,8.18807625355869,1099.9984629809
202,19.3,13.6962222222222,90,38.8073499995386,7.02929958429648,748.981854991094
203,23.82,14.4214942528736,87,37.9846499991099,6.95439130850365,904.794362978798
204,24.32,14.0645454545455,110,48.8167499982485,7.88387065743852,1187.2233599574
205,24.92,15.9968619246862,239,147.017949999325,13.6817055853807,3663.68731398317
206,19.83,13.1494565217391,92,50.4813499995941,8.01715978954515,1001.04517049195
207,23.48,16.1036263736264,91,50.8802999998443,8.04877692620377,1194.66944399634
208,24.23,18.8559139784946,93,35.8071000002743,6.7521119438762,867.606033006646
209,25.27,16.9564071856287,167,93.1279500018718,10.8891775934871,2353.3432965473
210,21.02,15.0403846153846,156,65.4378999997707,9.12787609491568,1375.50465799518
211,27.65,17.9965354330709,254,163.89025000074,14.4454680539425,4531.56541252046
212,21.7,12.1391534391534,189,126.201049998384,12.6761258847111,2738.56278496494
213,22.4,15.2502222222222,90,49.8043000003776,7.96321569834286,1115.61632000846
214,23.89,16.2352571428571,175,97.6692499983481,11.1515178967942,2333.31838246054
215,23.06,16.2886419753086,81,50.2282999989466,7.99704056657711,1158.26459797571
216,21.3,15.6737362637363,91,41.5668500018538,7.27492660941918,885.373905039487
217,27.25,21.8975675675676,148,92.2625000015626,10.8384622293994,2514.15312504258
218,20.69,13.836875,160,123.267000002282,12.527905609629,2550.39423004721
219,21.87,15.5788549618321,131,59.8458000024074,8.72914882158489,1308.82764605265
220,29.97,18.5427651515152,264,154.975900001275,14.0471151615748,4644.62772303822
221,21.12,14.7828571428571,140,95.8663000026725,11.0481113395389,2024.69625605644
222,23.69,15.832421875,128,56.7372500010713,8.49941823661415,1344.10545252538
223,19.52,12.3679393939394,165,82.7125999989586,10.262209955294,1614.54995197967
224,25.15,19.9626,150,79.4058000010713,10.054979097079,1997.05587002694
225,24,17.0911805555556,144,81.9394499992486,10.2141347167977,1966.54679998197
226,23.78,16.0351694915254,118,83.8384999996732,10.3318194704932,1993.67952999223
227,21.75,17.5739655172414,58,47.8482500008451,7.80527283619543,1040.69943751838
228,22.82,12.0294520547945,146,55.4935500010608,8.40574698281412,1266.36281102421
229,25.36,18.1727748691099,191,115.439300001601,12.1236084470996,2927.54064804061
230,20.72,15.5926865671642,67,59.8744000002394,8.73123437994857,1240.59756800496
231,20.87,11.65375,96,48.9388999987174,7.89372806436899,1021.35484297323
232,26.4,20.8181067961165,206,124.246499998692,12.5775815279915,3280.10759996547
233,26.98,21.2727857142857,140,90.8906500001521,10.7575819693311,2452.2297370041
234,20.42,13.9348251748252,143,92.228950002252,10.836491420763,1883.31515904599
235,19.05,11.8602649006623,151,85.5656500019372,10.4376994234091,1630.0256325369
236,16.96,9.73658227848101,158,90.5752499969676,10.7389007850158,1536.15623994857
237,22.98,16.5152597402597,154,111.924750001569,11.9376303233345,2572.03075503606
238,22,16.507037037037,108,71.6919999966801,9.55411374419031,1577.22399992696
239,27.55,19.6386069651741,201,115.05290000032,12.1033012858834,3169.7073950088
240,24.12,16.1296385542169,83,49.6851999989212,7.95368854222379,1198.40702397398
241,24.22,17.9984916201117,179,114.647699998665,12.0819694318118,2776.76729396768
242,25.46,17.6953211009174,109,66.3716499986516,9.19276941011819,1689.82220896567
243,19.65,11.6561052631579,95,57.8146999998455,8.57974138927295,1136.05885499696
244,19.01,9.99585227272727,176,72.8364500006676,9.63007001215336,1384.62091451269
245,26.33,19.0945283018868,212,122.353000000498,12.4813732424607,3221.5544900131
246,19.48,15.7471428571429,63,41.2051500003529,7.24320553534092,802.676322006874
247,17.52,8.64248062015504,129,72.7427000000288,9.62387043921744,1274.4521040005
248,25.11,15.1824870466321,193,95.7866499978862,11.0435207535919,2405.20278144692
249,26.59,17.8393846153846,130,64.445150001142,9.05837256066692,1713.59653853037
250,23.46,16.5962869198312,237,152.871949993855,13.951437632479,3586.37594685583
251,23.25,15.5132692307692,104,70.0199000003531,9.44203927119831,1627.96267500821
252,13.61,8.79318181818182,66,44.3176499977052,7.51178970065127,603.163216468767
253,25.07,16.69375,168,105.451099999393,11.5872563860065,2643.65907698478
254,18.57,10.8323529411765,102,55.2963499987317,8.3907985018055,1026.85321947645
255,25.94,20.1866417910448,134,81.4343000004272,10.1826013895453,2112.40574201108
256,16.19,7.46074074074074,135,57.8329500002563,8.58109543875476,936.31546050415
257,24.86,16.6077290836653,251,142.186099999744,13.4549977789423,3534.74644599364
258,21.87,15.8007476635514,107,71.2065999994623,9.52171512730003,1557.28834198824
259,13.98,6.79736842105263,57,34.0044499986107,6.5799552000907,475.382210980577
260,13,7.79942528735632,87,52.0861499978454,8.14359539210195,677.119949971991
261,24.4,18.8026923076923,156,131.691849999454,12.9489486499343,3213.28113998667
262,22.78,17.8735443037975,158,106.934150000379,11.6684527021848,2435.95993700862
263,21.71,17.6219480519481,77,57.1410499988158,8.52960986717338,1240.53219547429
264,17.75,9.04132743362832,113,76.0673999973703,9.84134247660548,1350.19634995332
265,23.01,13.6467307692308,208,102.508400004343,11.4244364654481,2358.71828409994
266,26.07,14.7678240740741,216,122.323700000765,12.479878689286,3188.97885901994
267,26.36,16.8637244897959,196,102.013650002114,11.396833476254,2689.07981405571
268,18.46,11.9246268656716,201,125.992000002695,12.6656226346636,2325.81232004975
269,25.28,17.135935483871,155,89.3448499958623,10.6657112342855,2258.6378078954
270,23.71,13.3004166666667,144,80.149550000402,10.1019590453159,1900.34583050953
271,24.39,16.7373595505618,178,109.427049998589,11.8036793976249,2668.92574946558
272,19.3,10.2803053435115,131,60.5317999984246,8.77903647742701,1168.26373996959
273,24.19,14.8546666666667,195,118.923149998048,12.3051882294415,2876.75099845278
274,23.28,14.0261960784314,255,143.380649998892,13.5113993919365,3337.90153197421
275,24.67,15.7205365853659,205,128.944299999197,12.8131565910657,3181.05588098018
276,19.92,11.6231707317073,123,64.2970999992394,9.04796166718354,1280.79823198485
277,23.23,15.7503703703704,135,68.794500001045,9.35905325669288,1598.09623502427
278,23.93,16.1519318181818,88,52.9857500039956,8.21361992135858,1267.94899759561
279,24.58,18.6742222222222,90,53.6497499982858,8.26492487945128,1318.71085495786
280,23.71,16.2832911392405,79,46.5310500014149,7.69708860023389,1103.25119553355
281,25.25,16.0365700483092,207,92.0256000013554,10.8245384682076,2323.64640003422
282,23.42,18.5599082568807,109,83.1914999989893,10.2918758049516,1948.34492997633
283,18.46,12.3212307692308,65,32.0151499998858,6.38458730150059,590.999668997892
