"treeID","Z"
1,21.539999961853
2,18.7633336385091
3,17.7766663233439
4,20.4226662317912
5,21.5330006281535
6,14.5533336003621
7,22.2080001831055
8,20.4699999491374
9,19.0533336003621
10,17.9522226121691
11,21.1955555809869
12,23.0588889651828
13,19.6511113908556
14,21.0233332316081
15,22.9411108228895
16,22.7355556488037
17,26.5600005255805
18,20.6555559370253
19,19.8244442409939
20,19.1055560641819
21,20.8599999745687
22,17.6933330959744
23,20.1766668955485
24,21.5488889482286
25,23.8666670057509
26,19.4333337148031
27,22.6611116197374
28,21.0977778964572
29,21.2811107635498
30,26.6955553690592
31,21.9066662258572
32,25.2877782185872
33,15.1866665946113
34,19.3154169718424
35,24.1088886260986
36,21.6522221035428
37,19.3488894568549
38,26.7777777777778
39,16.50111134847
40,16.4744446012709
41,22.5633335113525
42,21.4699999491374
43,23.2288892534044
44,19.8700004153781
45,16.5199999279446
46,26.3522222306993
47,24.6533328162299
48,23.7133331298828
49,21.4144446055094
50,23.3322221967909
51,20.5199998219808
52,17.7950000762939
53,12.6166666348775
54,19.1244447496202
55,20.3644445207384
56,20.7644445631239
57,18.6066665649414
58,21.0066666073269
59,18.8266665140788
60,22.3812501695421
61,25.8322226206462
62,21.7431945800781
63,16.9811108907064
64,25.6133327484131
65,26.6524999406603
66,24.6911108228895
67,20.8455558353
68,16.2388886345757
69,27.6322220696343
70,21.0066661834717
71,19.110416730245
72,15.6116663614909
73,26.7755552927653
74,20.4722226460775
75,16.7755558225844
76,24.3544447157118
77,26.587777879503
78,27.1887499491374
79,20.098888821072
80,25.1855557759603
81,20.204444249471
82,22.7809723748101
83,23.0622223748101
84,20.4144441816542
85,22.3788892957899
86,22.4677778879801
87,20.7766662173801
88,22.8155555725098
89,19.8700004153781
90,20.8955559200711
91,22.2655556996663
92,16.6722223493788
93,24.9555560217963
94,23.5966667599148
95,17.9800001780192
96,23.575555589464
97,19.9344444274902
98,22.9266668955485
99,22.9988890753852
100,26.4566667344835
101,21.204444249471
102,19.1344447665744
103,22.9588885837131
104,17.7762499915229
105,21.5611112382677
106,22.3411110772027
107,21.991110695733
108,21.9522226121691
109,22.2277785407172
110,23.9088889227973
111,21.1266668107775
112,18.7277774810791
113,21.768888897366
114,20.8466665479872
115,20.5099998050266
116,22.0044447580973
117,23.0577778286404
118,21.0200000339084
119,23.2733332316081
120,21.0766663021511
121,23.1544441647
122,20.7111110687256
123,18.9744447072347
124,20.5922222137451
125,19.9222225613064
126,21.4655558268229
127,17.5211111704508
128,21.3377774556478
129,20.786349190606
130,21.1922217475043
131,23.2733334435357
132,22.8911111619737
133,23.9077779981825
134,21.1088892618815
135,20.5777778625488
136,22.2688886854384
137,19.0133336385091
138,20.449999915229
139,25.2633334265815
140,20.1277775234646
141,25.143333223131
142,21.9722220102946
143,22.4988888634576
144,20.5855556064182
145,21.7555556827121
146,22.4911111195882
147,22.1300002204047
148,21.7911109924316
149,17.3399999406603
150,21.4922222561306
151,22.7844443851047
152,22.9944445292155
153,19.8426387574938
154,20.6688891516791
155,22.152222527398
156,21.6677780151367
157,21.2988891601562
158,22.8588890499539
159,22.6466668446859
160,22.5688887702094
161,24.2899996439616
162,22.2666668362088
163,21.7544445461697
164,18.2744443681505
165,24.4377778371175
166,20.435555352105
167,17.3039680057102
168,20.7011108398438
169,23.0511110093858
170,23.4722222222222
171,22.2363493177626
172,23.738889058431
173,21.2977775997586
174,22.3733336130778
175,23.9744444953071
176,21.151111178928
177,17.5688887702094
178,21.2344445122613
179,18.2744445800781
180,23.847777472602
181,23.2888889312744
182,21.699999915229
183,22.212222205268
184,23.9079165988498
185,23.7144442664252
186,21.6988887786865
187,23.0533334943983
188,22.3833332061768
189,23.238889058431
190,22.5700001186795
191,19.6283330917358
192,17.7355554368761
193,23.5633330874973
194,19.6844450632731
195,23.3644443088108
196,22.0488889482286
197,21.8655556572808
198,23.8205555809869
199,22.5011111365424
200,22.9955556657579
201,20.46555519104
202,18.5522219340007
203,22.2899996439616
204,22.6255554623074
205,23.877777311537
206,19.244166692098
207,22.9155555301242
208,22.6533334520128
209,24.4733335706923
210,20.699999915229
211,26.6122220357259
212,20.5988886091444
213,21.8744445376926
214,23.4399996863471
215,22.3655556572808
216,20.3687496185303
217,26.3444440629747
218,20.1955555809869
219,20.8074999915229
220,28.5499996609158
221,19.902222527398
222,21.3800001144409
223,18.4477780659993
224,24.5555553436279
225,22.2888885074192
226,22.1477781931559
227,21.00069448683
228,21.6544443766276
229,24.9648613399929
230,20.363333384196
231,18.8888893127441
232,26.0533330705431
233,26.075555589464
234,18.8922220865885
235,17.761110941569
236,14.9711114035712
237,22.503332985772
238,21.7866670820448
239,27.0499998728434
240,22.5911110772027
241,22.6722223493788
242,24.617777718438
243,18.4022221035428
244,16.7411108016968
245,25.9833335876465
246,19.1477777693007
247,15.7099998262193
248,23.0900001525879
249,25.9355557759603
250,22.102222442627
251,22.6833335028754
252,10.7044444613987
253,24.2244444953071
254,17.1577774683634
255,25.4588885837131
256,15.4044445885552
257,23.5044445461697
258,21.6066663530138
259,11.355555428399
260,12.0399997499254
261,23.7488888634576
262,22.4888892703586
263,21.2544447580973
264,16.7699999279446
265,20.321110619439
266,24.1755553351508
267,25.9277778201633
268,17.4699999491374
