"tree_id","file_name","file_path","file_size_mb","match_id","reference_id","species","reference_height_m","reference_dbh_cm","point_count","minimum_z_m","maximum_z_m","calculated_height_m","processing_status","error_message","height_error_m","absolute_height_error_m"
"AD22","AD22_PinSyl_2021-01-08.laz","data/raw/tls/site2_AD/AD22_PinSyl_2021-01-08.laz",0.78,"AD22","AD22","Pinus spp.",29.07128945,44.4140452,229136,-0.465,28.607,29.072,"success",NA,0.000710550000004417,0.000710550000004417
"AD25","AD25_AcePse_2021-01-08.laz","data/raw/tls/site2_AD/AD25_AcePse_2021-01-08.laz",0.93,"AD25","AD25","Acer pseudoplatanus",28.72802749,48.7113547,290074,0.078,28.512,28.434,"success",NA,-0.294027489999994,0.294027489999994
"AD26","AD26_PinSyl_2021-01-08.laz","data/raw/tls/site2_AD/AD26_PinSyl_2021-01-08.laz",0.96,"AD26","AD26","Pinus spp.",27.66699226,60.4774049,306938,-0.134,27.533,27.667,"success",NA,7.74000000092201e-06,7.74000000092201e-06
"AD27","AD27_FagSyl_2021-01-08.laz","data/raw/tls/site2_AD/AD27_FagSyl_2021-01-08.laz",0.91,"AD27","AD27","Fagus sylvatica",26.74902344,46.8665372,265017,-1.142,25.427,26.569,"success",NA,-0.180023439999996,0.180023439999996
"AD28","AD28_AcePse_2021-01-08.laz","data/raw/tls/site2_AD/AD28_AcePse_2021-01-08.laz",0.44,"AD28","AD28","Acer pseudoplatanus",23.2956543,30.8081245,134612,-1.49,21.713,23.203,"success",NA,-0.092654299999996,0.092654299999996
"AD29","AD29_FagSyl_2021-01-08.laz","data/raw/tls/site2_AD/AD29_FagSyl_2021-01-08.laz",1.14,"AD29","AD29","Fagus sylvatica",31.74687666,42.0746799,336584,-0.587,30.465,31.052,"success",NA,-0.694876659999998,0.694876659999998
"AD30","AD30_Fagsyl_2021-01-08.laz","data/raw/tls/site2_AD/AD30_Fagsyl_2021-01-08.laz",2.55,"AD30","AD30","Fagus sylvatica",29.68882519,45.5876006,748882,-0.886,28.655,29.541,"success",NA,-0.147825189999999,0.147825189999999
"AD31","AD31_FagSyl_2021-01-08.laz","data/raw/tls/site2_AD/AD31_FagSyl_2021-01-08.laz",2.37,"AD31","AD31","Fagus sylvatica",29.4997831,46.2110122,698485,-0.272,29.228,29.5,"success",NA,0.00021690000000163,0.00021690000000163
"AD32","AD32_FagSyl_2021-01-08.laz","data/raw/tls/site2_AD/AD32_FagSyl_2021-01-08.laz",2.05,"AD32","AD32","Fagus sylvatica",30.41259757,43.589368,604978,-0.298,30.115,30.413,"success",NA,0.000402430000004728,0.000402430000004728
"AD33","AD33_FagSyl_2021-01-08.laz","data/raw/tls/site2_AD/AD33_FagSyl_2021-01-08.laz",1.42,"AD33","AD33","Fagus sylvatica",29.42919913,41.5370473,416671,0.396,29.624,29.228,"success",NA,-0.201199129999999,0.201199129999999
