"centre_x","centre_y","radius_m","points_used","circle_rmse_mm","height_m"
-3.45773919216219,19.1356920739139,0.221695810517103,522,10.3089815605178,1.3
-3.45096355835718,19.1473884195728,0.218402219177987,473,8.62240819039569,1.4
-3.44631542472928,19.1580208205926,0.219007034652814,598,16.0367134509061,1.5
-3.4410746740178,19.165955913191,0.219761761521469,618,19.5430734130354,1.6
-3.44385114200998,19.1749648103583,0.221912013471305,730,23.3705506580108,1.7
-3.43420523803479,19.1822948907936,0.218594828739676,708,23.1404163756705,1.8
-3.42807077003351,19.1945481575562,0.219145562861002,637,19.7187071722753,1.9
-3.4253530031706,19.208973413128,0.218299887482632,633,21.5521682032315,2
-3.42239786514014,19.2217229922097,0.213918973287256,527,13.4161229453071,2.1
-3.42438656444795,19.2305122959944,0.213982036213484,574,18.018442432373,2.2
-3.42291526340693,19.2353154397243,0.219472401103455,687,24.8430906196705,2.3
-3.42597223833172,19.234938375786,0.228653531692089,832,28.4410097271307,2.4
-3.43708438651914,19.2392847534674,0.236002765742608,940,32.1640329435274,2.5
-3.41322133233108,19.2455999348305,0.223423313522533,681,27.8307861121001,2.6
-3.41412843868569,19.2702234002463,0.215160189940361,619,20.4741107502504,2.7
-3.41251382553965,19.28465769807,0.211819517005387,573,15.8830584507495,2.8
-3.41265185275866,19.2953922384794,0.209823454100324,576,13.2692774864133,2.9
-3.41309783788827,19.3063939044362,0.211695925407275,665,19.7658876507349,3
-3.4112573952121,19.309172962455,0.209464552527843,628,20.8405074984694,3.1
-3.40593136133946,19.3193362632869,0.213188776793925,723,23.9834089236346,3.2
-3.39891748049381,19.3264620831986,0.218699762499971,810,25.3261900050603,3.3
-3.39462568516621,19.3245866749049,0.221576604964699,759,30.1541839201999,3.4
-3.39771885746008,19.3167559647879,0.224983994578128,767,27.7306921101976,3.5
-3.38472541500345,19.317434153245,0.21603785946627,674,27.6959145580764,3.6
-3.38489187581701,19.3450296296913,0.206094309621806,536,21.5220828966894,3.7
-3.3847592778493,19.3599600783527,0.20298372641943,530,10.9451250719834,3.8
-3.37737098293425,19.3669369147897,0.203196101487412,547,7.9761413687486,3.9
-3.37290303549016,19.3730701823219,0.205398272289844,574,16.5655390344266,4
-3.36707415525199,19.3796830198465,0.202617568440193,519,9.68475960156468,4.1
-3.36025824903182,19.3851108859834,0.201466433961349,550,10.4257121940617,4.2
-3.35416539665286,19.3911230100756,0.200733279802972,537,12.8230593203793,4.3
-3.34839212648851,19.3968375144228,0.199293549469392,518,13.0675209616165,4.4
-3.34015359519172,19.4013503740505,0.198837484337436,552,14.3773512287234,4.5
-3.33620541441748,19.4054569473688,0.200022925652253,533,15.9436087617629,4.6
-3.32951544032162,19.4135419987919,0.202470919495449,626,22.514065376691,4.7
-3.32306815854486,19.4252657535396,0.206353786980984,718,23.665525909507,4.8
-3.31402388416001,19.4258980421042,0.207290646761546,702,26.3845929283887,4.9
-3.30372966258317,19.4264661908221,0.214160236125611,667,26.9844134474396,5
-3.3012950058729,19.4296151766581,0.207620251429799,657,27.422158215102,5.1
-3.30028221580922,19.4276672327611,0.203577586125192,628,24.1830322323777,5.2
-3.30258745125837,19.4267725268155,0.202571104127431,576,21.8467200575921,5.3
-3.30454111432125,19.4269142637266,0.205117448262969,644,22.0592348188186,5.4
-3.29398315700663,19.4236452883652,0.199667244728406,579,22.1901028879411,5.5
-3.28857669547633,19.4312029102229,0.200224281883963,570,20.2594101440134,5.6
-3.27879197160872,19.4276728139602,0.195058263148795,483,13.2353871860702,5.7
-3.27433742842836,19.4301166788862,0.194048944068818,484,11.065204420502,5.8
-3.27004038791929,19.4314182155084,0.192900852438437,466,8.52975670661412,5.9
-3.26816123706321,19.4315826723735,0.192412850089323,478,9.56122615502965,6
