"quality_flag","trees","mean_error_cm","mean_absolute_error_cm","root_mean_square_error_cm","within_1_cm_percent","within_2_cm_percent","within_5_cm_percent"
"acceptable",38,0.339211935603006,0.521030238002055,0.781062706171053,89.4736842105263,92.1052631578947,100
"inspect",15,3.88935331223038,4.47083560635667,10.5143696150732,40,66.6666666666667,86.6666666666667
