"tree_id","species","method_used","reference_dbh_cm","estimated_dbh_cm","error_cm","absolute_error_cm","circle_rmse_mm","circumference_completeness_percent","original_slice_points","retained_points","removed_points","accepted_tracking_heights","processing_status","error_message","quality_flag"
"AD07","Larix decidua","base-to-DBH tracking",51.6366559,53.8009480660545,2.16429216605449,2.16429216605449,12.2862988003336,97.2222222222222,551,551,0,11,"success",NA,"acceptable"
"AD08","Larix decidua","base-to-DBH tracking",45.2276063,45.8307832808082,0.6031769808082,0.6031769808082,9.40108713452338,100,545,545,0,11,"success",NA,"acceptable"
"AD09","Larix decidua","base-to-DBH tracking",39.9229778,40.2312778480722,0.308300048072176,0.308300048072176,5.81556307967544,100,456,456,0,11,"success",NA,"acceptable"
"AD10","Sorbus aria","direct-fit fallback",25.0869558,24.9091100234722,-0.177845776527803,0.177845776527803,7.87284355183785,100,245,245,0,NA,"success",NA,"acceptable"
"AD11","Sorbus aria","base-to-DBH tracking",31.1045951,30.4666248465026,-0.637970253497414,0.637970253497414,10.900382608555,97.2222222222222,332,332,0,11,"success",NA,"acceptable"
"AD12","Pinus spp.","base-to-DBH tracking",50.9889448,51.0417513453686,0.0528065453685613,0.0528065453685613,16.0230657268217,100,866,713,153,11,"success",NA,"acceptable"
"AD13","Fagus sylvatica","base-to-DBH tracking",57.8585128,58.5607367014399,0.70222390143995,0.70222390143995,15.1479900588051,100,5896,606,5290,11,"success",NA,"acceptable"
"AD14","Pinus spp.","base-to-DBH tracking",58.3965146,58.52161387814,0.125099278139984,0.125099278139984,14.8081215315316,100,723,723,0,11,"success",NA,"acceptable"
"AD15","Pinus spp.","base-to-DBH tracking",49.354417,49.9539901320165,0.599573132016545,0.599573132016545,9.91592303545166,86.1111111111111,541,541,0,11,"success",NA,"acceptable"
"AD16","Pinus spp.","base-to-DBH tracking",61.1480733,61.689635805272,0.541562505271941,0.541562505271941,14.2126083967018,91.6666666666667,586,580,6,11,"success",NA,"acceptable"
"AD17","Quercus spp.","base-to-DBH tracking",41.9183312,42.0613924180356,0.143061218035569,0.143061218035569,7.77445104079822,100,489,489,0,11,"success",NA,"acceptable"
"AD18","Pinus spp.","base-to-DBH tracking",53.8636118,53.6226422842672,-0.240969515732772,0.240969515732772,10.0878042620912,100,769,769,0,11,"success",NA,"acceptable"
"AD20","Fraxinus excelsior","base-to-DBH tracking",48.4300735,48.6414810063853,0.211407506385342,0.211407506385342,7.05673213126902,100,599,599,0,11,"success",NA,"acceptable"
"AD21","Pinus spp.","base-to-DBH tracking",48.4830582,48.6418248425903,0.158766642590251,0.158766642590251,8.74970070391935,100,580,580,0,11,"success",NA,"acceptable"
"AD22","Pinus spp.","base-to-DBH tracking",44.4140452,44.377237371489,-0.036807828510959,0.036807828510959,7.05518743537086,83.3333333333333,407,407,0,11,"success",NA,"acceptable"
"AD25","Acer pseudoplatanus","base-to-DBH tracking",48.7113547,48.9525345487387,0.24117984873866,0.24117984873866,15.8516803333893,100,585,585,0,11,"success",NA,"acceptable"
"AD26","Pinus spp.","base-to-DBH tracking",60.4774049,60.1001165044237,-0.377288395576265,0.377288395576265,16.005354735964,100,659,659,0,11,"success",NA,"acceptable"
"AD27","Fagus sylvatica","base-to-DBH tracking",46.8665372,47.2594964820161,0.392959282016136,0.392959282016136,8.5000775181428,97.2222222222222,452,452,0,11,"success",NA,"acceptable"
"AD28","Acer pseudoplatanus","base-to-DBH tracking",30.8081245,30.8351489560691,0.0270244560690962,0.0270244560690962,6.48911302903039,75,254,254,0,11,"success",NA,"acceptable"
"AD29","Fagus sylvatica","base-to-DBH tracking",42.0746799,41.6444437575985,-0.430236142401498,0.430236142401498,12.7910670007615,100,472,472,0,11,"success",NA,"acceptable"
"AD30","Fagus sylvatica","base-to-DBH tracking",45.5876006,45.3416895478702,-0.245911052129806,0.245911052129806,8.18316463258291,100,568,568,0,11,"success",NA,"acceptable"
"AD31","Fagus sylvatica","base-to-DBH tracking",46.2110122,45.6774723002134,-0.533539899786639,0.533539899786639,7.68083930775696,100,562,562,0,11,"success",NA,"acceptable"
"AD32","Fagus sylvatica","base-to-DBH tracking",43.589368,43.6538566091524,0.0644886091524057,0.0644886091524057,7.37068643344384,100,554,554,0,11,"success",NA,"acceptable"
"AD33","Fagus sylvatica","base-to-DBH tracking",41.5370473,42.9451301867972,1.40808288679724,1.40808288679724,9.4282809199072,100,493,493,0,11,"success",NA,"acceptable"
